record_id,source_system,hotel_name,address_line1,address_line2,city,state,country,postal_code,phone_number
R059,DIRECT_C,Independent Rio de Janeiro Central,1 Main Street,,Rio de Janeiro,RJ,BR,60019,1
R060,OTA_C,Independent Rio de Janeiro City Center,1 Main St,Downtown,Rio de Janeiro,RJ,Brazil,60019,1
R062,GDS_A,Independent Seoul Central,1 Main Street,,Seoul,Seoul,KR,94012,1
R063,OTA_C,Independent Seoul City Center,1 Main St,Downtown,Seoul,Seo,South Korea,94012,1
R068,GDS_A,Radisson Mexico City Central,1 Main Street,,Mexico City,CDMX,MX,31174,1
R069,OTA_C,Radisson Mexico City City Center,1 Main St,Downtown,Mexico City,CDM,Mexico,31174,1
R071,GDS_A,Hilton Garden Inn Lisbon Central,1 Main Street,,Lisbon,Lisboa,PT,50306,1
R072,OTA_B,Hilton Garden Inn Lisbon City Center,1 Main St,Downtown,Lisbon,Lis,Portugal,50306,1
R074,OTA_B,Sofitel Vienna Central,1 Main Street,,Vienna,Vienna,AT,79822,1
R075,DIRECT_C,Sofitel Vienna City Center,1 Main St,Downtown,Vienna,Vie,Austria,79822,1
R077,OTA_B,DoubleTree Auckland Central,1 Main Street,,Auckland,Auckland,NZ,37760,1
R078,OTA_C,DoubleTree Auckland City Center,1 Main St,Downtown,Auckland,Auc,New Zealand,37760,1
R080,GDS_A,Sofitel Copenhagen Central,1 Main Street,,Copenhagen,Hovedstaden,DK,42493,1
R081,OTA_C,Sofitel Copenhagen City Center,1 Main St,Downtown,Copenhagen,Hov,Denmark,42493,1
R083,OTA_B,Ibis Montreal Central,1 Main Street,,Montreal,QC,CA,92719,1
R084,GDS_A,Ibis Montreal City Center,1 Main St,Downtown,Montreal,QC,Canada,92719,1
R086,OTA_B,Hilton Garden Inn Brussels Central,1 Main Street,,Brussels,BRU,BE,73624,1
R087,DIRECT_C,Hilton Garden Inn Brussels City Center,1 Main St,Downtown,Brussels,BRU,Belgium,73624,1
R089,DIRECT_C,Pullman Istanbul Central,1 Main Street,,Istanbul,Istanbul,TR,66498,1
R090,DIRECT_C,Pullman Istanbul City Center,1 Main St,Downtown,Istanbul,Ist,Turkey,66498,1
R092,OTA_C,Independent Rome Central,1 Main Street,,Rome,RM,IT,17944,1
R093,GDS_A,Independent Rome City Center,1 Main St,Downtown,Rome,RM,Italy,17944,1
R098,GDS_A,DoubleTree Doha Central,1 Main Street,,Doha,Doha,QA,80855,1
R099,OTA_B,DoubleTree Doha City Center,1 Main St,Downtown,Doha,Doh,Qatar,80855,1
