record_id,source_system,hotel_name,address_line1,address_line2,city,state,country,postal_code,phone_number,hotel_text,block_key,canonical_hotel_id
R003,DIRECT_C,Hotel Marriot Bengaluru ORR,Outer Ring Road,,Bangalore,KA,IN,560103,-12345667,Hotel Marriot Bengaluru ORR | Outer Ring Road | Bangalore | KA | IN | 560103 | -12345667,560103,HID_000001
R040,OTA_B,Hotel Marriott Auckland Cntrl,No. 1 Main Street,,Auckland,Auckland,NZ,59615,1,Hotel Marriott Auckland Cntrl | No. 1 Main Street | Auckland | Auckland | NZ | 59615 | 1,59615,HID_000014
R043,OTA_C,Hotel Marriott Vienna Cntrl,No. 1 Main Street,,Vienna,Vienna,AT,20458,1,Hotel Marriott Vienna Cntrl | No. 1 Main Street | Vienna | Vienna | AT | 20458 | 1,20458,HID_000015
R046,OTA_B,Hotel Independent Doha Cntrl,No. 1 Main Street,,Doha,Doha,QA,56566,1,Hotel Independent Doha Cntrl | No. 1 Main Street | Doha | Doha | QA | 56566 | 1,56566,HID_000016
R049,GDS_A,Hotel Ibis Montreal Cntrl,No. 1 Main Street,,Montreal,QC,CA,93886,1,Hotel Ibis Montreal Cntrl | No. 1 Main Street | Montreal | QC | CA | 93886 | 1,93886,HID_000017
R052,DIRECT_C,Hotel Marriott Chicago Cntrl,No. 1 Main Street,,Chicago,IL,US,18675,1,Hotel Marriott Chicago Cntrl | No. 1 Main Street | Chicago | IL | US | 18675 | 1,18675,HID_000018
R055,DIRECT_C,Hotel Independent Hanoi Cntrl,No. 1 Main Street,,Hanoi,Hanoi,VN,42325,1,Hotel Independent Hanoi Cntrl | No. 1 Main Street | Hanoi | Hanoi | VN | 42325 | 1,42325,HID_000019
R058,OTA_B,Hotel Ibis Copenhagen Cntrl,No. 1 Main Street,,Copenhagen,Hovedstaden,DK,74686,1,Hotel Ibis Copenhagen Cntrl | No. 1 Main Street | Copenhagen | Hovedstaden | DK | 74686 | 1,74686,HID_000020
R061,GDS_A,Hotel Independent Rio de Janeiro Cntrl,No. 1 Main Street,,Rio de Janeiro,RJ,BR,60019,1,Hotel Independent Rio de Janeiro Cntrl | No. 1 Main Street | Rio de Janeiro | RJ | BR | 60019 | 1,60019,HID_000021
R064,DIRECT_C,Hotel Independent Seoul Cntrl,No. 1 Main Street,,Seoul,Seoul,KR,94012,1,Hotel Independent Seoul Cntrl | No. 1 Main Street | Seoul | Seoul | KR | 94012 | 1,94012,HID_000022
R067,OTA_C,Hotel Sofitel Rio de Janeiro Cntrl,No. 1 Main Street,,Rio de Janeiro,RJ,BR,44522,1,Hotel Sofitel Rio de Janeiro Cntrl | No. 1 Main Street | Rio de Janeiro | RJ | BR | 44522 | 1,44522,HID_000033
R070,DIRECT_C,Hotel Radisson Mexico City Cntrl,No. 1 Main Street,,Mexico City,CDMX,MX,31174,1,Hotel Radisson Mexico City Cntrl | No. 1 Main Street | Mexico City | CDMX | MX | 31174 | 1,31174,HID_000023
R073,GDS_A,Hotel Hilton Garden Inn Lisbon Cntrl,No. 1 Main Street,,Lisbon,Lisboa,PT,50306,1,Hotel Hilton Garden Inn Lisbon Cntrl | No. 1 Main Street | Lisbon | Lisboa | PT | 50306 | 1,50306,HID_000024
R076,OTA_B,Hotel Sofitel Vienna Cntrl,No. 1 Main Street,,Vienna,Vienna,AT,79822,1,Hotel Sofitel Vienna Cntrl | No. 1 Main Street | Vienna | Vienna | AT | 79822 | 1,79822,HID_000025
R079,DIRECT_C,Hotel DoubleTree Auckland Cntrl,No. 1 Main Street,,Auckland,Auckland,NZ,37760,1,Hotel DoubleTree Auckland Cntrl | No. 1 Main Street | Auckland | Auckland | NZ | 37760 | 1,37760,HID_000026
R082,GDS_A,Hotel Sofitel Copenhagen Cntrl,No. 1 Main Street,,Copenhagen,Hovedstaden,DK,42493,1,Hotel Sofitel Copenhagen Cntrl | No. 1 Main Street | Copenhagen | Hovedstaden | DK | 42493 | 1,42493,HID_000027
R085,GDS_A,Hotel Ibis Montreal Cntrl,No. 1 Main Street,,Montreal,QC,CA,92719,1,Hotel Ibis Montreal Cntrl | No. 1 Main Street | Montreal | QC | CA | 92719 | 1,92719,HID_000028
R088,OTA_B,Hotel Hilton Garden Inn Brussels Cntrl,No. 1 Main Street,,Brussels,BRU,BE,73624,1,Hotel Hilton Garden Inn Brussels Cntrl | No. 1 Main Street | Brussels | BRU | BE | 73624 | 1,73624,HID_000029
R091,DIRECT_C,Hotel Pullman Istanbul Cntrl,No. 1 Main Street,,Istanbul,Istanbul,TR,66498,1,Hotel Pullman Istanbul Cntrl | No. 1 Main Street | Istanbul | Istanbul | TR | 66498 | 1,66498,HID_000030
R094,OTA_B,Hotel Independent Rome Cntrl,No. 1 Main Street,,Rome,RM,IT,17944,1,Hotel Independent Rome Cntrl | No. 1 Main Street | Rome | RM | IT | 17944 | 1,17944,HID_000031
R097,GDS_A,Hotel Ibis Los Angeles Cntrl,No. 1 Main Street,,Los Angeles,CA,US,34050,1,Hotel Ibis Los Angeles Cntrl | No. 1 Main Street | Los Angeles | CA | US | 34050 | 1,34050,HID_000034
R100,OTA_B,Hotel DoubleTree Doha Cntrl,No. 1 Main Street,,Doha,Doha,QA,80855,1,Hotel DoubleTree Doha Cntrl | No. 1 Main Street | Doha | Doha | QA | 80855 | 1,80855,HID_000032
